Team,Match,Alliance,Time,X,Y
649,1,red,15.4,14.61,14.52
649,1,red,15.5,14.54,14.5
649,1,red,15.6,14.59,14.42
649,1,red,15.7,14.47,14.47
649,1,red,15.8,14.22,14.63
649,1,red,15.9,14.04,14.73
649,1,red,16.0,13.89,14.8
254,1,red,0,5.12,17.58
254,1,red,0.1,5.08,17.58
254,1,red,0.2,5.09,17.54
254,1,red,0.3,5.08,17.55
254,1,red,0.4,5.05,17.56
254,1,red,0.5,4.99,17.61
254,1,red,0.6,5.03,17.57
254,1,red,0.7,5.05,17.58
254,1,red,0.8,5.06,17.57
254,1,red,0.9,5.12,17.54
254,1,red,1.0,5.15,17.53
254,1,red,1.1,5.11,17.46
254,1,red,1.2,5.1,17.47
254,1,red,1.3,5.08,17.47
254,1,red,1.4,5.04,17.46
254,1,red,1.5,4.98,17.47
254,1,red,1.6,4.96,17.44
254,1,red,1.7,5.02,17.48
254,1,red,1.8,5.05,17.49
254,1,red,1.9,5.06,17.49
254,1,red,2.0,5.07,17.48
254,1,red,2.1,5.08,17.46
254,1,red,2.2,5.09,17.49
254,1,red,2.3,5.04,17.47
254,1,red,2.4,4.97,17.46
254,1,red,2.5,4.95,17.42
254,1,red,2.6,4.96,17.48
254,1,red,2.7,5.02,17.56
254,1,red,2.8,4.96,17.55
254,1,red,2.9,4.98,17.59
254,1,red,3.0,5.08,17.66
254,1,red,3.1,5.08,17.71
254,1,red,3.2,5.25,17.69
254,1,red,3.3,5.52,17.66
254,1,red,3.4,5.95,17.64
254,1,red,3.5,6.35,17.65
254,1,red,3.6,6.78,17.59
254,1,red,3.7,7.45,17.61
254,1,red,3.8,7.97,17.71
254,1,red,3.9,8.43,17.8
254,1,red,4.0,8.87,18.12
254,1,red,4.1,9.39,18.5
254,1,red,4.2,9.8,18.96
254,1,red,4.3,10.1,19.42
254,1,red,4.4,10.56,19.89
254,1,red,4.5,11.02,20.45
254,1,red,4.6,11.49,20.96
254,1,red,4.7,11.83,21.44
254,1,red,4.8,12.28,21.89
254,1,red,4.9,12.72,22.38
254,1,red,5.0,13.03,22.83
254,1,red,5.1,13.23,23.18
254,1,red,5.2,13.38,23.49
254,1,red,5.3,13.55,23.69
254,1,red,5.4,13.64,23.86
254,1,red,5.5,13.78,23.99
254,1,red,5.6,13.81,24.09
254,1,red,5.7,13.87,24.22
254,1,red,5.8,13.98,24.32
254,1,red,5.9,14.11,24.44
254,1,red,6.0,14.3,24.55
254,1,red,6.1,14.29,24.6
254,1,red,6.2,14.31,24.64
254,1,red,6.3,14.31,24.64
254,1,red,6.4,14.31,24.6
254,1,red,6.5,14.27,24.57
254,1,red,6.6,14.18,24.55
254,1,red,6.7,14.15,24.54
254,1,red,6.8,14.16,24.51
254,1,red,6.9,14.22,24.52
254,1,red,7.0,14.25,24.5
254,1,red,7.1,14.22,24.46
254,1,red,7.2,14.2,24.46
254,1,red,7.3,14.24,24.43
254,1,red,7.4,14.24,24.44
254,1,red,7.5,14.18,24.41
254,1,red,7.6,14.11,24.44
254,1,red,7.7,14.14,24.42
254,1,red,7.8,14.1,24.42
254,1,red,7.9,14.01,24.35
254,1,red,8.0,13.85,24.18
254,1,red,8.1,13.62,24.08
254,1,red,8.2,13.33,23.87
254,1,red,8.3,12.92,23.73
254,1,red,8.4,12.44,23.51
254,1,red,8.5,11.7,23.29
254,1,red,8.6,10.96,23.21
254,1,red,8.7,10.26,23.19
254,1,red,8.8,9.47,23.32
254,1,red,8.9,8.79,23.38
254,1,red,9.0,8.03,23.56
254,1,red,9.1,7.32,23.9
254,1,red,9.2,6.55,24.16
254,1,red,9.3,5.81,24.41
254,1,red,9.4,5.23,24.54
254,1,red,9.5,4.61,24.71
254,1,red,9.6,4.17,24.8
254,1,red,9.7,3.97,24.87
254,1,red,9.8,3.79,24.89
254,1,red,9.9,3.6,24.84
254,1,red,10.0,3.35,24.84
254,1,red,10.1,3.09,24.8
254,1,red,10.2,2.79,24.78
254,1,red,10.3,2.36,24.74
254,1,red,10.4,1.98,24.79
254,1,red,10.5,1.57,24.85
254,1,red,10.6,1.21,24.88
254,1,red,10.7,0.87,24.96
254,1,red,10.8,0.61,25.03
254,1,red,10.9,0.47,25.07
254,1,red,11.0,0.38,25.08
254,1,red,11.1,0.37,25.1
254,1,red,11.2,0.37,25.11
254,1,red,11.3,0.38,25.14
254,1,red,11.4,0.39,25.15
254,1,red,11.5,0.41,25.16
254,1,red,11.6,0.42,25.17
254,1,red,11.7,0.43,25.18
254,1,red,11.8,0.43,25.19
254,1,red,11.9,0.44,25.16
254,1,red,12.0,0.48,25.17
254,1,red,12.1,0.64,25.15
254,1,red,12.2,0.85,25.14
254,1,red,12.3,1.18,25.08
254,1,red,12.4,1.63,24.99
254,1,red,12.5,2.04,24.96
254,1,red,12.6,2.57,24.86
254,1,red,12.7,3.15,24.76
254,1,red,12.8,3.75,24.68
254,1,red,12.9,4.42,24.46
254,1,red,13.0,5.08,24.28
254,1,red,13.1,5.81,24.05
254,1,red,13.2,6.43,23.85
254,1,red,13.3,7.21,23.58
254,1,red,13.4,8.09,23.35
254,1,red,13.5,8.89,23.22
254,1,red,13.6,9.82,23.04
254,1,red,13.7,10.74,22.8
254,1,red,13.8,11.91,22.58
254,1,red,13.9,12.9,22.41
254,1,red,14.0,13.9,22.16
254,1,red,14.1,14.9,21.91
254,1,red,14.2,15.76,21.79
254,1,red,14.3,16.79,21.76
254,1,red,14.4,17.72,21.78
254,1,red,14.5,18.61,21.86
254,1,red,14.6,19.46,21.96
254,1,red,14.7,20.3,22.18
254,1,red,14.8,21.12,22.42
254,1,red,14.9,21.77,22.71
254,1,red,15.0,22.32,22.97
254,1,red,15.1,22.76,23.26
254,1,red,15.2,23.09,23.56
254,1,red,15.3,23.23,23.86
254,1,red,15.4,23.4,24.08
254,1,red,15.5,23.49,24.26
254,1,red,15.6,23.55,24.4
254,1,red,15.7,23.56,24.49
254,1,red,15.8,23.52,24.55
254,1,red,15.9,23.58,24.61
254,1,red,16.0,23.58,24.65
1983,1,red,0,0.28,9.9
1983,1,red,0.1,0.31,9.92
1983,1,red,0.2,0.31,9.93
1983,1,red,0.3,0.29,9.96
1983,1,red,0.4,0.32,9.99
1983,1,red,0.5,0.37,10.01
1983,1,red,0.6,0.42,10.04
1983,1,red,0.7,0.36,10.06
1983,1,red,0.8,0.35,10.06
1983,1,red,0.9,0.38,10.05
1983,1,red,1.0,0.4,10.07
1983,1,red,1.1,0.42,10.07
1983,1,red,1.2,0.47,10.09
1983,1,red,1.3,0.51,10.09
1983,1,red,1.4,0.46,10.09
1983,1,red,1.5,0.43,10.09
1983,1,red,1.6,0.44,10.11
